1096-3642	Zoological Journal of the linnean Society	online
2095-8137	Zoological Research	print
0254-2853	Zoological Research	online
1175-5334	Zootaxa	online
1175-5326	Zootaxa	print
0974-7907	Journal of Threatened Taxa	online
0974-7893	Journal of Threatened Taxa	print
0003-0090	Bulletin of the American Museum of Natural History
1477-2000	Journal of Systematics and Biodiversity	print
1478-0933	Journal of Systematics and Biodiversity	online
2007-8706	Revista Mexicana de Biodiversidad	online
1870-3453	Revista Mexicana de Biodiversidad	print
2325-081X	Life: The Excitement of Biology	print
2325-0828	Life: The Excitement of Biology	print
2333-2468	Caribbean Herpetology	online
1744-9561	Acta zoológica mexicana	online
0065-1737	Acta zoológica mexicana	print
0044-5134	ZOOLOGICHESKY ZHURNAL	online
0044-5134	ZOOLOGICHESKY ZHURNAL	print
0030-8870	Pacific science	print
1534-6188	Pacific science	online
0006-9698	Breviora	print
0720-213X	Zoomorphology	print
1432-234X	Zoomorphology	online
0036-8075	science	print
1095-9203	science	online
0028-0836	nature	print
1476-4687	nature	online
0947-5745	Journal of Zoological Systematics and Evolutionary Research	print
1439-0469	Journal of Zoological Systematics and Evolutionary Research	online
0305-1978	Biochemical Systematics and Ecology
0030-9923	Pakistan Journal of Zoology
2071-5773	Herpetology Notes
0027-4100	Bulletin of the Museum of Comparative Zoology	print
1938-2987	Bulletin of the Museum of Comparative Zoology	online
0018-084X	Herpetological Review
1568-5381	Amphibia-Reptilia	online
0173-5373	Amphibia-Reptilia	print
0206-0477	Proceedings of the Zoological Institute of the Russian Academy of Sciences	print
# bad:
1814-0815	Proceedings of the Zoological Institute of the Russian Academy of Sciences	online
2332-4961	Reptiles & Amphibians
0080-6234	University of São Paulo	print
1980-220X	University of São Paulo	online
1870-3453	Mexican journal of biodiversity	print
1519-1397	phyllomedusa	online
2316-9079	phyllomedusa	print
2730-7182	BMC Ecology and Evolution	online
# ARticles older than 2021:
1471-2148	BMC Evolutionary Biology	online
1809-127X	check list	online
# not in crossref, articles don't have DOIs.
1931-7603	Herpetological Conservation & Biology	online
# not in crossref, articles don't have DOIs.
2151-0733	Herpetological Conservation & Biology	print
1755-098X	Molecular ecology resources	print
1755-0998	Molecular ecology resources	online
1473-0928	Herpetological Bulletin	print
1932-6203	PLOS one biology	online
0960-9822	Current Biology	print
# no DOIS for Salamandra.
0036-3375	Salamandra	print
# likely fail
1083-446X	Amphibian and Reptile Conservation	print
1525-9153	Amphibian and Reptile Conservation	online
2766-1512	Journal of Herpetology and Ichthyology	print
0175-8659	Journal of Applied Ichthyology	print
1439-0426	Journal of Applied Ichthyology	online
0032-9452	Journal of Itchyology	print
1555-6425	Journal of Itchyology	online
2448-7589	Acta Botanica Mexicana	print
2448-7589	Acta Botanica Mexicana	online
0001-6977	Acta Societatis Botanicorum Poloniae	print
2083-9480	Acta Societatis Botanicorum Poloniae	online
0065-6275	Aliso	print
2327-2929	Aliso	online
0002-9122	American Journal of Botany	print
1537-2197	American Journal of Botany	online
0211-1322	Anales del Jardín Botánico de Madrid	print
1988-3196	Anales del Jardín Botánico de Madrid	online
0305-7364	Annals of Botany	print
1095-8290	Annals of Botany	online
0026-6493	Annals of the Missouri Botanical Garden	print
2162-4372	Annals of the Missouri Botanical Garden	online
1543-5008	Annual Review of Plant Biology	print
1545-2123	Annual Review of Plant Biology	online
0305-7364	AoB PLANTS	print
2041-2851	AoB PLANTS	online
0304-3770	Aquatic Botany	print
0131-1379	Arctoa, a Journal of Bryology	print
0004-2633	Arnoldia	print
0067-1924	Australian Journal of Botany	print
1444-9862	Australian Journal of Botany	online
1030-1887	Australian Systematic Botany	print
1446-5701	Australian Systematic Botany	online
0006-3134	Biologia Plantarum	print
1573-8264	Biologia Plantarum	online
0006-5196	Blumea	print
2212-1676	Blumea	online
0006-5269	Blyttia	print
1894-3985	Blyttia	online
0024-4074	Botanical Journal of the Linnean Society	print
1095-8339	Botanical Journal of the Linnean Society	online
0006-8187	Botanisk Tidsskrift	print
1916-2804	Botany	print
0007-196X	Brittonia	print
1938-436X	Brittonia	online
2381-9677	Bryophyte Diversity and Evolution	print
2381-9685	Bryophyte Diversity and Evolution	online
0366-5232	Caldasia	print
2357-3759	Caldasia	online
0373-2967	Candollea	print
2235-3658	Candollea	online
0008-7475	Castanea	print
1938-4386	Castanea	online
1290-0796	Cryptogamie Bryologie	print
1776-0992	Cryptogamie Bryologie	online
1355-4905	Curtis's Botanical Magazine	print
1467-8748	Curtis's Botanical Magazine	online
0011-6211	Dansk Botanisk Arkiv	print
1474-0036	Edinburgh Journal of Botany	print
0960-4286	Edinburgh Journal of Botany	online
0747-9859	Evansia	print
2330-9148	Evansia	online
0367-2530	Flora	print
0071-5794	Flora Neotropica	print
1759-6653	Genome Biology and Evolution	print
1043-4534	Harvard Papers in Botany	print
1938-2944	Harvard Papers in Botany	online
1058-5893	International Journal of Plant Sciences	print
1537-5315	International Journal of Plant Sciences	online
0373-6687	Journal of bryology	print
1743-2820	Journal of bryology	online
0022-0957	Journal of Experimental Botany	print
1460-2431	Journal of Experimental Botany	online
0176-1617	Journal of Plant Physiology	print
1934-5259	Journal of the Botanical Research Institute of Texas	print
2644-1608	Journal of the Botanical Research Institute of Texas	online
1095-5674	Journal of the Torrey Botanical Society	print
1940-0616	Journal of the Torrey Botanical Society	online
0075-5974	Kew Bulletin	print
1874-933X	Kew Bulletin	online
1097-993X	Lundellia	print
0024-9637	Madroño	print
1943-6297	Madroño	online
0077-8931	Memoirs of the New York Botanical Garden	print
2042-3497	New Journal of Botany	print
0028-825X	New Zealand Journal of Botany	print
1175-8643	New Zealand Journal of Botany	online
0107-055X	Nordic Journal of Botany	print
1756-1051	Nordic Journal of Botany	online
1055-3177	Novon	print
1945-6174	Novon	online
0085-4417	Nuytsia	print
2200-2790	Nuytsia	online
0556-3321	Pakistan Journal of Botany	print
2070-3368	Pakistan Journal of Botany	online
0031-9422	Phytochemistry	print
2349-8234	Journal of Pharmacognosy and Phytochemistry	print
2278-4136	Journal of Pharmacognosy and Phytochemistry	online
0031-9430	Phytologia	print
2377-7583	Phytologia	online
2153 733X	Phytoneuron	print
1179-3155	Phytotaxa	print
1179-3163	Phytotaxa	online
1435-8603	Plant Biology	print
1438-8677	Plant Biology	online
1755-0874	Plant Ecology & Diversity	print
1755-1668	Plant Ecology & Diversity	online
0032-0889	Plant Physiology	print
1532-2548	Plant Physiology	online
0168-9452	Plant Science	print
1873-2259	Plant Science	online
0378-2697	Plant Systematics and Evolution	print
1615-6110	Plant Systematics and Evolution	online
0032-0935	Planta	print
1432-2048	Planta	online
2223-7747	plants	print
0874-9035	Portugaliae Acta Biologica	print
0375-0280	Portugaliae Acta Biologica	online
0032-7786	Preslia	print
2570-950X	Preslia	online
1870-3453	Revista Mexicana de Biodiversidad	print
2007-8706	Revista Mexicana de Biodiversidad	online
0035-4902	Rhodora	print
1938-3401	Rhodora	online
0361-185X	Selbyana	print
2689-0682	Selbyana	online
0039-646X	Svensk Botanisk Tidskrift	print
0363-6445	Systematic Botany	print
1548-2324	Systematic Botany	online
0737-8211	Systematic Botany Monographs	print
0040-0262	Taxon	print
1996-8175	Taxon	online
0312-9764	Telopea	print
2200-4025	Telopea	online
0007-2745	The Bryologist	print
0960-7412	The Plant Journal	print
1365-313X	The Plant Journal	online
0511-9618	Willdenowia	print
1868-6397	Willdenowia	online
0161-1542	Monographs in Systematic Botany	print
0740-2783	American Malacological Bulletin	print
0007-4977	Bulletin of Marine Science	print
1553-6955	Bulletin of Marine Science	web
0008-4301	Canadian Journal of Zoology	print
1480-3283	Canadian Journal of Zoology	web
1438-3888	Helgoland Marine Research
1445-5226	Invertebrate Systematics	print
1447-2600	Invertebrate Systematics	web
0022-2933	Journal of Natural History	print
1464-5262	Journal of Natural History	web
1464-5262	Journal of Natural History	web
1178-9905	Zoosystema	print
1178-9913	Zoosystema	web
1178-9905	Zoosymposia	print
1178-9913	Zoosymposia	web
0028-1344	The Nautilus	print
2689-7733	peerj
1432-1793	Marine biology	web
0025-3162	Marine biology	print
1867-1616	Marine Biodiversity	print
1867-1624	Marine Biodiversity	web
0278-0372	Journal of Crustacean Biology	print
1937-240X	Journal of Crustacean Biology	web
0025-3154	Journal of the Marine Biological Association of the United Kingdom	print
1469-7769	Journal of the Marine Biological Association of the United Kingdom	web
1867-1624	Marine Biodiversity	web
1867-1616	Marine Biodiversity	print
0260-1230	Journal of Molluscan Studies	print
1464-3766	Journal of Molluscan Studies	web
0006-324X	Proceedings of the Biological Society of Washington	print
1943-6327	Proceedings of the Biological Society of Washington	web
0738-9388	The Festivus	print
0042-3211	The Veliger	print
2054-5703	Royal Soceity Open Science	web
2703-3082	Megataxa	print
2703-3090	Megataxa	web




1677-941X	Acta Botanica Brasilica	electronic
0102-3306	Acta Botanica Brasilica	print
2340-5074	Acta Botanica Malacitana	electronic
0210-9506	Acta Botanica Malacitana	print
0187-7151	Acta Botanica Mexicana	print
0167-8809	Agriculture, Ecosystems &amp; Environment	print
1664-2201	Alpine Botany	print
1664-221X	Alpine Botany	electronic
0002-8444	American Fern Journal	print
1402-2001	Applied Vegetation Science	print
1654-109X	Applied Vegetation Science	electronic
1471-2229	BMC Plant Biology	electronic
2242-1300	BioInvasions Records	electronic
2085-4722	Biodiversitas Journal of Biological Diversity	electronic
1412-033X	Biodiversitas Journal of Biological Diversity	print
1005-0094	Biodiversity Science	print
0960-3115	Biodiversity and Conservation	print
1572-9710	Biodiversity and Conservation	electronic
1726-4189	Biogeosciences	electronic
1049-9644	Biological Control	print
1387-3547	Biological Invasions	print
1573-1464	Biological Invasions	electronic
2079-7737	Biology	electronic
2226-4701	Botanica Pacifica	print
2410-3713	Botanica Pacifica	electronic
2007-4476	Botanical Sciences	electronic
2007-4298	Botanical Sciences	print
2381-8107	Botany Letters	print
2381-8115	Botany Letters	electronic
1806-9959	Brazilian Journal of Botany	electronic
0007-9367	Cactus and Succulent Journal	print
1612-1872	Chemistry &amp; Biodiversity	print
1612-1880	Chemistry &amp; Biodiversity	electronic
1749-8546	Chinese Medicine	electronic
1814-9332	Climate of the Past	electronic
2399-3642	Communications Biology	electronic
1585-8553	Community Ecology	print
1588-2756	Community Ecology	electronic
1566-0621	Conservation Genetics	print
1572-9737	Conservation Genetics	electronic
2578-4854	Conservation Science and Practice	electronic
0011-183X	Crop Science	print
1435-0653	Crop Science	electronic
0011-6793	Darwiniana, nueva serie	print
1850-1699	Darwiniana, nueva serie	electronic
1758-0463	Database	electronic
1424-2818	Diversity	electronic
1366-9516	Diversity and Distributions	print
1472-4642	Diversity and Distributions	electronic
0197-9337	Earth Surface Processes and Landforms	print
1096-9837	Earth Surface Processes and Landforms	electronic
1866-3516	Earth System Science Data	electronic
1051-0761	Ecological Applications	print
1939-5582	Ecological Applications	electronic
1470-160X	Ecological Indicators	print
1574-9541	Ecological Informatics	print
2688-8319	Ecological Solutions and Evidence	electronic
2673-4133	Ecologies	electronic
0012-9658	Ecology	print
1939-9170	Ecology	electronic
1461-023X	Ecology Letters	print
1461-0248	Ecology Letters	electronic
2150-8925	Ecosphere	electronic
2212-0416	Ecosystem Services	print
1863-5407	Endangered Species Research	print
1613-4796	Endangered Species Research	electronic
0360-5442	Energy	print
2399-8083	Environment and Planning B: Urban Analytics and City Science	print
2399-8091	Environment and Planning B: Urban Analytics and City Science	electronic
1866-6280	Environmental Earth Sciences	print
1866-6299	Environmental Earth Sciences	electronic
1462-2912	Environmental Microbiology	print
1462-2920	Environmental Microbiology	electronic
1748-9326	Environmental Research Letters	electronic
0944-1344	Environmental Science and Pollution Research	print
1614-7499	Environmental Science and Pollution Research	electronic
2190-4707	Environmental Sciences Europe	print
2190-4715	Environmental Sciences Europe	electronic
1741-4288	Evidence-Based Complementary and Alternative Medicine	electronic
1741-427X	Evidence-Based Complementary and Alternative Medicine	print
2048-3694	Food and Energy Security	electronic
0378-1127	Forest Ecology and Management	print
2197-5620	Forest Ecosystems	print
1999-4907	Forests	electronic
2296-701X	Frontiers in Ecology and Evolution	electronic
2296-665X	Frontiers in Environmental Science	electronic
2624-893X	Frontiers in Forests and Global Change	electronic
2296-7745	Frontiers in Marine Science	electronic
1664-462X	Frontiers in Plant Science	electronic
1948-6596	Frontiers of Biogeography	electronic
2667-3258	Fundamental Research	print
0925-9864	Genetic Resources and Crop Evolution	print
1573-5109	Genetic Resources and Crop Evolution	electronic
1354-1013	Global Change Biology	print
1365-2486	Global Change Biology	electronic
1466-822X	Global Ecology and Biogeography	print
1466-8238	Global Ecology and Biogeography	electronic
2351-9894	Global Ecology and Conservation	print
0921-8181	Global and Planetary Change	print
0891-2963	Historical Biology	print
1029-2381	Historical Biology	electronic
0018-8158	Hydrobiologia	print
1573-5117	Hydrobiologia	electronic
2075-4450	Insects	electronic
2710-3366	International Journal of Agricultural Sciences and Technology	electronic
1422-0067	International Journal of Molecular Sciences	electronic
1617-1381	Journal for Nature Conservation	print
2214-7861	Journal of Applied Research on Medicinal and Aromatic Plants	print
0022-0477	Journal of Ecology	print
1365-2745	Journal of Ecology	electronic
0301-4797	Journal of Environmental Management	print
0976-1330	Journal of Geomatics	electronic
0022-1503	Journal of Heredity	print
1465-7333	Journal of Heredity	electronic
2147-7612	Journal of Insect Biodiversity	electronic
2538-1318	Journal of Insect Biodiversity	print
0022-2585	Journal of Medical Entomology	print
1938-2928	Journal of Medical Entomology	electronic
1672-6316	Journal of Mountain Science	print
1993-0321	Journal of Mountain Science	electronic
1612-4758	Journal of Pest Science	print
1612-4766	Journal of Pest Science	electronic
1861-3829	Journal of Plant Diseases and Protection	print
1861-3837	Journal of Plant Diseases and Protection	electronic
1674-4918	Journal of Systematics and Evolution	print
1759-6831	Journal of Systematics and Evolution	electronic
1742-5662	Journal of The Royal Society Interface	electronic
1100-9233	Journal of Vegetation Science	print
1654-1103	Journal of Vegetation Science	electronic
1658-077X	Journal of the Saudi Society of Agricultural Sciences	print
2549-5747	Jurnal Sylva Lestari	electronic
2339-0913	Jurnal Sylva Lestari	print
2073-445X	Land	electronic
0264-8377	Land Use Policy	print
0025-1461	Mammalia	print
1864-1547	Mammalia	electronic
1989-8649	Management of Biological Invasions 	electronic
2603-9109	Mediterranean Botany	electronic
2041-210X	Methods in Ecology and Evolution	electronic
1522-8339	Native Plants Journal	print
1548-4785	Native Plants Journal	electronic
1758-678X	Nature Climate Change	print
1758-6798	Nature Climate Change	electronic
2041-1723	Nature Communications	electronic
2397-334X	Nature Ecology &amp; Evolution	electronic
2055-0278	Nature Plants	electronic
1314-2488	NeoBiota	electronic
1619-0033	NeoBiota	print
1678-8052	Neotropical Entomology	electronic
0028-646X	New Phytologist	print
1469-8137	New Phytologist	electronic
0110-6465	New Zealand Journal of Ecology	print
0030-1299	Oikos	print
1600-0706	Oikos	electronic
2572-2611	PLANTS, PEOPLE, PLANET	electronic
2767-3200	PLOS Climate	electronic
1867-1594	Palaeobiodiversity and Palaeoenvironments	print
1867-1608	Palaeobiodiversity and Palaeoenvironments	electronic
0031-0182	Palaeogeography, Palaeoclimatology, Palaeoecology	print
2572-4517	Paleoceanography and Paleoclimatology	print
2572-4525	Paleoceanography and Paleoclimatology	electronic
2167-8359	PeerJ	electronic
2530-0644	Perspectives in Ecology and Conservation	print
1433-8319	Perspectives in Plant Ecology, Evolution and Systematics	print
1526-498X	Pest Management Science	print
1526-4998	Pest Management Science	electronic
0031-7683	Philippine Journal of Science	electronic
0962-8436	Philosophical Transactions of the Royal Society B: Biological Sciences	print
1471-2970	Philosophical Transactions of the Royal Society B: Biological Sciences	electronic
1314-2003	PhytoKeys	electronic
1314-2011	PhytoKeys	print
2468-2659	Plant Diversity	print
0981-9428	Plant Physiology and Biochemistry	print
0032-079X	Plant and Soil	print
1573-5036	Plant and Soil	electronic
0962-8452	Proceedings of the Royal Society B: Biological Sciences	print
1471-2954	Proceedings of the Royal Society B: Biological Sciences	electronic
2150-8097	Proceedings of the VLDB Endowment	print
0033-5894	Quaternary Research	print
1096-0287	Quaternary Research	electronic
0277-3791	Quaternary Science Reviews	print
1436-3798	Regional Environmental Change	print
1436-378X	Regional Environmental Change	electronic
0975-0932	Research Square	print
0034-6667	Review of Palaeobotany and Palynology	print
1806-9088	Revista Árvore	electronic
0100-6762	Revista Árvore	print
2075-1117	Russian Journal of Biological Invasions	print
2075-1125	Russian Journal of Biological Invasions	electronic
1674-7313	Science China Earth Sciences	print
1869-1897	Science China Earth Sciences	electronic
0048-9697	Science of The Total Environment	print
2052-4463	Scientific Data	electronic
2045-2322	Scientific Reports	electronic
0138-9130	Scientometrics	print
1588-2861	Scientometrics	electronic
0147-1724	Southwestern Entomologist	print
0165-0521	Studies on Neotropical Fauna and Environment	print
1744-5140	Studies on Neotropical Fauna and Environment	electronic
2071-1050	Sustainability	electronic
1210-0420	Thaiszia – Journal of Botany	electronic
1758-4469	Tree Physiology	electronic
0169-5347	Trends in Ecology &amp; Evolution	print
1360-1385	Trends in Plant Science	print
1940-0829	Tropical Conservation Science	electronic
2229-4473	Vegetos	electronic
0083-7792	Webbia	electronic
2169-4060	Webbia	print
0043-1737	Weed Research	print
1365-3180	Weed Research	electronic
1528-4972	XRDS: Crossroads, The ACM Magazine for Students	print
1528-4980	XRDS: Crossroads, The ACM Magazine for Students	electronic
2050-084X	eLife	electronic
2589-0042	iScience	print
1195-6860	Écoscience	print
2376-7626	Écoscience	electronic
2084-8838	Animal Migration	electronic
1052-7613	Aquatic Conservation: Marine and Freshwater Ecosystems	print
1099-0755	Aquatic Conservation: Marine and Freshwater Ecosystems	electronic
1314-2828	Biodiversity Data Journal	electronic
1314-2836	Biodiversity Data Journal	print
0024-4066	Biological Journal of the Linnean Society	print
1095-8312	Biological Journal of the Linnean Society	electronic
1467-2960	Fish and Fisheries	print
1467-2979	Fish and Fisheries	electronic
2410-3888	Fishes	electronic
0046-5070	Freshwater Biology	print
1365-2427	Freshwater Biology	electronic
2297-3362	Frontiers in Built Environment	electronic
2405-8440	Heliyon	print
1054-3139	ICES Journal of Marine Science	print
1095-9289	ICES Journal of Marine Science	electronic
1551-3777	Integrated Environmental Assessment and Management	print
1551-3793	Integrated Environmental Assessment and Management	electronic
0022-0949	Journal of Experimental Biology	print
1477-9145	Journal of Experimental Biology	electronic
0022-1112	Journal of Fish Biology	print
1095-8649	Journal of Fish Biology	electronic
0022-2372	Journal of Mammalogy	print
1545-1542	Journal of Mammalogy	electronic
2077-1312	Journal of Marine Science and Engineering	electronic
0024-3590	Limnology and Oceanography	print
1939-5590	Limnology and Oceanography	electronic
0171-8630	Marine Ecology Progress Series	print
1616-1599	Marine Ecology Progress Series	electronic
2662-1746	Marine Life Science &amp; Technology	electronic
0025-326X	Marine Pollution Bulletin	print
1791-6763	Mediterranean Marine Science	electronic
1108-393X	Mediterranean Marine Science	print
1314-3301	Nature Conservation	electronic
1314-6947	Nature Conservation	print
0275-5947	North American Journal of Fisheries Management	print
1548-8675	North American Journal of Fisheries Management	electronic
2056-2799	Papers in Palaeontology	print
2056-2802	Papers in Palaeontology	electronic
2504-3900	Proceedings	electronic
1659-407X	REVMAR.	electronic
1659-455X	REVMAR.	print
2352-4855	Regional Studies in Marine Science	print
1753-5123	Reviews in Aquaculture	print
1753-5131	Reviews in Aquaculture	electronic
2215-2075	Revista de Biología Tropical	electronic
0034-7744	Revista de Biología Tropical	print
1535-1459	River Research and Applications	print
1535-1467	River Research and Applications	electronic
1342-1670	Species Diversity	print
2189-7301	Species Diversity	electronic
2774-0226	Trends in Sciences	electronic
1280-9551	Zoosystema	print
1872-8855	Arthropod-Plant Interactions	print
1872-8847	Arthropod-Plant Interactions	electronic
2666-9005	Climate Change Ecology	print
