2156-4574	African Journal of Herpetology	print
2153-3660	African Journal of Herpetology	online
1568-5381	Amphibia-Reptilia	online
0173-5373	Amphibia-Reptilia	print
1741-7007	BMC Biology
# AKA Ecology and Evolution
2045-7758	BMC Ecology and evolution
1756-0500	BMC research notes
2056-3132	BMC Zoology
0006-3207	Biological Conservation
1744-9561	biology letters	print
1744-957X	biology letters	online
0038-3872	Bulletin of the Southern California Academy of Sciences
0027-4100	Bulletin of the Museum of Comparative Zoology
0027-4100	Bulletin of the Museum of Comparative Zoology
0366-5232	Caldasia	print
2357-3759	Caldasia	online
0748-3007	cladistics	print
1096-0031	cladistics	online
0888-8892	Conservation biology	print
1523-1739	Conservation biology	online
# AKA copeia
0045-8511	Ichthyology and Herpetology	print
1938-5110	Ichthyology and Herpetology	online
1345-5834	Current herpetology	print
1881-1019	Current herpetology	online
0906-7590	Ecography	print
1600-0587	Ecography	print
2575-3789	Ecology and Evolutionary Biology	print
1558-5646	Evolution	online
0014-3820	Evolution	print
0168-8162	Experimental and Applied Acarology	online
1572-9702	Experimental and Applied Acarology	print
2163-7105	Fieldiana Life and Earth Sciences	online
2158-5520	Fieldiana Life and Earth Sciences	print
1742-9994	Frontiers in Zoology
0018-0831	Herpetologica	print
0733-1347	Herpetological Monographs	print
1938-5137	Herpetological Monographs	online
1365-2699	Journal of biogeography	online
0305-0270	Journal of biogeography	print
1420-9101	Journal of Evolutionary Biology	online
1010-061X	Journal of Evolutionary Biology	printa
0022-1511	Journal of herpetology	print
1937-2418	Journal of herpetology	online
1365-294X	Molecular Ecology	online
0962-1083	Molecular Ecology	print
1055-7903	Molecular Phylogenetics and Evolution
1618-1077	Organisms Diversity & Evolution	online
1439-6092	Organisms Diversity & Evolution	print
1544-9173	PLOS one biology	print
1545-7885	PLOS one biology	online
1553-7358	PLOS one computational biology	print
1553-734X	PLOS one computational biology	online
1519-1397	Phyllomedusa: Journal of Herpetology	print
2316-9079	Phyllomedusa: Journal of Herpetology	online
0006-324X	Proceedings of the Biological Society of Washington	print
1943-6327	Proceedings of the Biological Society of Washington	online
0068-547X	Proceedings of the California Academy of Sciences
0027-8424	Proceedings of the National Academy of Sciences	print
1091-6490	Proceedings of the National Academy of Sciences	online
1026-2296	Russian Journal of Herpetology	print
2713-1467	Russian Journal of Herpetology	online
1808-9798	South American Journal of Herpetology
1076-836X	Systematic biology	online
1063-5157	Systematic biology	print
1800-427X	TAPROBANICA	print
1800-427X	TAPROBANICA	online
1932-8486	The Anatomical Record	print
1932-8494	The Anatomical Record	online
2625-8498	Vertebrate Zoology	online
1864-5755	Vertebrate Zoology	print
1313-2989	ZooKeys	print
1313-2970	ZooKeys	online
1463-6409	Zoologoica Scripta	online
0300-3256	Zoologoica Scripta	print
0024-4082	Zoological Journal of the linnean Society	print
